date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:29:32	299/299	---M--	200	added ('OK')	text/plain	etag:W/%2212b-1811e611712%22	https://eqvent-advisors-landing-page-hg0xb.codedesign.app/robots.txt		(from )
20:29:38	83006/83006	---MCZ	200	added ('OK')	text/html	etag:%221443e-0cNwnrva9vabOL2eVYbgIQ80NuU%22	https://eqvent-advisors-landing-page-hg0xb.codedesign.app/	/home/abhyuday/websites/eqventadvisors/eqvent-advisors-landing-page-hg0xb.codedesign.app/index.html	(from )
20:29:39	59305/59305	---MCZ	200	added ('OK')	text/css	etag:W/%22ecd507b3125edc4d2a03aa6ae5d07da9%22	https://use.fontawesome.com/releases/v5.15.4/css/all.css	/home/abhyuday/websites/eqventadvisors/use.fontawesome.com/releases/v5.15.4/css/all.css	(from https://eqvent-advisors-landing-page-hg0xb.codedesign.app/)
20:29:40	30781/30781	---MCZ	200	added ('OK')	text/css	etag:W/%22783d-189df18e1a8%22	https://eqvent-advisors-landing-page-hg0xb.codedesign.app/_next/static/css/346b9fe967711a57.css	/home/abhyuday/websites/eqventadvisors/eqvent-advisors-landing-page-hg0xb.codedesign.app/_next/static/css/346b9fe967711a57.css	(from https://eqvent-advisors-landing-page-hg0xb.codedesign.app/)
20:29:41	91434/91434	---MCZ	200	added ('OK')	application/javascript	etag:W/%221652a-189df18e1a8%22	https://eqvent-advisors-landing-page-hg0xb.codedesign.app/_next/static/chunks/polyfills-a40ef1678bae11e696dba45124eadd70.js	/home/abhyuday/websites/eqventadvisors/eqvent-advisors-landing-page-hg0xb.codedesign.app/_next/static/chunks/polyfills-a40ef1678bae11e696dba45124eadd70.js	(from https://eqvent-advisors-landing-page-hg0xb.codedesign.app/)
20:29:42	3803/3803	---MCZ	200	added ('OK')	application/javascript	etag:W/%22edb-189df18e1a8%22	https://eqvent-advisors-landing-page-hg0xb.codedesign.app/_next/static/chunks/webpack-2e52859dadb07ea3.js	/home/abhyuday/websites/eqventadvisors/eqvent-advisors-landing-page-hg0xb.codedesign.app/_next/static/chunks/webpack-2e52859dadb07ea3.js	(from https://eqvent-advisors-landing-page-hg0xb.codedesign.app/)
20:29:43	61886/61886	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f1be-189df18e1a8%22	https://eqvent-advisors-landing-page-hg0xb.codedesign.app/_next/static/chunks/main-3ff82a6967839010.js	/home/abhyuday/websites/eqventadvisors/eqvent-advisors-landing-page-hg0xb.codedesign.app/_next/static/chunks/main-3ff82a6967839010.js	(from https://eqvent-advisors-landing-page-hg0xb.codedesign.app/)
20:29:43	130311/130311	---MCZ	200	added ('OK')	application/javascript	etag:W/%221fd07-189df18e1ac%22	https://eqvent-advisors-landing-page-hg0xb.codedesign.app/_next/static/chunks/framework-092837ea0334d9b5.js	/home/abhyuday/websites/eqventadvisors/eqvent-advisors-landing-page-hg0xb.codedesign.app/_next/static/chunks/framework-092837ea0334d9b5.js	(from https://eqvent-advisors-landing-page-hg0xb.codedesign.app/)
20:29:46	6373/6373	---MCZ	200	added ('OK')	application/javascript	etag:W/%2218e5-189df18e1a8%22	https://eqvent-advisors-landing-page-hg0xb.codedesign.app/_next/static/chunks/pages/%5B%5B...slug%5D%5D-5fb8df814d4d84e1.js	/home/abhyuday/websites/eqventadvisors/eqvent-advisors-landing-page-hg0xb.codedesign.app/_next/static/chunks/pages/[[...slug]]-5fb8df814d4d84e1.js	(from https://eqvent-advisors-landing-page-hg0xb.codedesign.app/)
20:29:46	991027/991027	---MCZ	200	added ('OK')	application/javascript	etag:W/%22f1f33-189df18e1a8%22	https://eqvent-advisors-landing-page-hg0xb.codedesign.app/_next/static/chunks/pages/_app-c637193fff8ef982.js	/home/abhyuday/websites/eqventadvisors/eqvent-advisors-landing-page-hg0xb.codedesign.app/_next/static/chunks/pages/_app-c637193fff8ef982.js	(from https://eqvent-advisors-landing-page-hg0xb.codedesign.app/)
20:29:48	310/310	---M--	200	added ('OK')	application/javascript	etag:W/%22136-189df18e1a8%22	https://eqvent-advisors-landing-page-hg0xb.codedesign.app/_next/static/qIfS1wSRnwkzgJ2WzS_sU/_buildManifest.js	/home/abhyuday/websites/eqventadvisors/eqvent-advisors-landing-page-hg0xb.codedesign.app/_next/static/qIfS1wSRnwkzgJ2WzS_sU/_buildManifest.js	(from https://eqvent-advisors-landing-page-hg0xb.codedesign.app/)
20:29:48	77/77	---M--	200	added ('OK')	application/javascript	etag:W/%224d-189df18e1a8%22	https://eqvent-advisors-landing-page-hg0xb.codedesign.app/_next/static/qIfS1wSRnwkzgJ2WzS_sU/_ssgManifest.js	/home/abhyuday/websites/eqventadvisors/eqvent-advisors-landing-page-hg0xb.codedesign.app/_next/static/qIfS1wSRnwkzgJ2WzS_sU/_ssgManifest.js	(from https://eqvent-advisors-landing-page-hg0xb.codedesign.app/)
